year_month,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2021-01,0.18473762,0.07147454,0.11184843,0.063621946,0.2037187,0.085826404,0.08645224,0.09886829,0.036854617,0.056597248
2021-02,0.14771897,0.10946418,0.10553991,0.07815847,0.1728333,0.08621428,0.13059568,0.10916034,0.013488084,0.046826776
2021-03,0.13825616,0.13066263,0.13902578,0.10982067,0.12338288,0.052220073,0.12525591,0.10652229,0.0184727,0.056380946
2021-04,0.12044102,0.16194811,0.12345709,0.08954216,0.1341956,0.06558188,0.102766335,0.09996625,0.024542946,0.077558525
2021-05,0.12715776,0.10404969,0.13711591,0.08611494,0.15756328,0.10491681,0.09182295,0.10224854,0.018736474,0.0702735
2021-06,0.18393305,0.1168862,0.14713638,0.08891231,0.1265249,0.07634435,0.06739552,0.10928707,0.024211017,0.059369106
2021-07,0.12597756,0.16585048,0.13375235,0.11218676,0.13231242,0.06966639,0.07236623,0.11422508,0.011722085,0.06194057
2021-08,0.1128501,0.1441777,0.11178833,0.061911337,0.17003706,0.10452467,0.10687104,0.07658445,0.015058358,0.09619698
2021-09,0.17249252,0.12738809,0.10991046,0.08330652,0.15650487,0.085484095,0.070874274,0.09533257,0.04439253,0.054313924
2021-10,0.18289155,0.12229216,0.12226812,0.10093621,0.1344773,0.0662362,0.061958816,0.10160171,0.03214623,0.07519156
2021-11,0.1400703,0.11969185,0.1299707,0.12010892,0.10119079,0.051754326,0.08701276,0.09594047,0.037145786,0.11711396
2021-12,0.110967234,0.120457225,0.12120879,0.096866965,0.15858223,0.08997188,0.10767552,0.10798176,0.013669807,0.072618544
2022-01,0.10179871,0.1505867,0.11095593,0.08646554,0.14691697,0.111208975,0.060621146,0.114093244,0.022939233,0.09441358
2022-02,0.07336987,0.12653892,0.08276342,0.060392156,0.15054531,0.24775188,0.039184064,0.12187368,0.024943892,0.072636716
2022-03,0.09098617,0.100907445,0.11201749,0.08233508,0.16810337,0.21274386,0.036242437,0.08286031,0.034758992,0.07904472
2022-04,0.14150462,0.12418517,0.1156707,0.08432627,0.15629044,0.13272148,0.03802356,0.09070445,0.021712756,0.094860606
2022-05,0.1546886,0.12771103,0.15232585,0.10073895,0.12055007,0.12761164,0.04451657,0.08390148,0.02334674,0.06460921
2022-06,0.14849761,0.10922889,0.14407675,0.09839746,0.16281734,0.08865072,0.04269009,0.08802877,0.044341113,0.07327125
2022-07,0.13603413,0.12872796,0.17985575,0.08830092,0.1448654,0.073991634,0.050772723,0.094630525,0.022896405,0.079924434
2022-08,0.06899963,0.11927466,0.17774259,0.08089103,0.14094053,0.09500295,0.075449795,0.07596458,0.017388187,0.14834596
2022-09,0.13859499,0.12864688,0.1590544,0.12535688,0.12646544,0.09090621,0.04209726,0.07712327,0.030647611,0.081107005
2022-10,0.10146483,0.08381996,0.1511598,0.16822352,0.12614322,0.10318597,0.035600673,0.08770359,0.018913474,0.12378476
2022-11,0.17606385,0.0716298,0.15944044,0.14264673,0.121795855,0.11095092,0.012664596,0.08357749,0.054376703,0.06685357
2022-12,0.17864436,0.115231015,0.13808134,0.11668083,0.111747526,0.10196996,0.02654863,0.083494626,0.045726653,0.08187513
2023-01,0.120262176,0.09287263,0.16758588,0.12978573,0.12604144,0.10845019,0.013433904,0.12148083,0.016293723,0.10379343
2023-02,0.095183305,0.13227378,0.14413111,0.11758749,0.14576243,0.12830472,0.015752478,0.08824545,0.016683701,0.11607545
2023-03,0.15893805,0.10341032,0.13254617,0.10569074,0.15818399,0.08304852,0.0174524,0.08838135,0.02573936,0.12660897
2023-04,0.11738142,0.111124784,0.21315053,0.12236729,0.1109625,0.08496532,0.017049532,0.07951532,0.034347318,0.10913588
2023-05,0.18048912,0.0980337,0.15573111,0.11648179,0.12366333,0.0720533,0.017526956,0.106770866,0.0391602,0.09008978
2023-06,0.11410171,0.08843119,0.21968994,0.13532023,0.1400173,0.08897301,0.013552428,0.06882769,0.024213346,0.10687317
2023-07,0.12936372,0.11775031,0.1541107,0.111758314,0.13503577,0.11354242,0.01585039,0.07691949,0.027761905,0.11790701
2023-08,0.1373036,0.06516597,0.19752641,0.14315596,0.1462905,0.06758672,0.0335149,0.060646325,0.013971269,0.13483834
2023-09,0.20744292,0.106234714,0.15978633,0.12543112,0.114931226,0.07189418,0.022566061,0.070661046,0.039279006,0.081773326
2023-10,0.115917295,0.0865213,0.18905106,0.09850105,0.118388936,0.190347,0.019688977,0.074369326,0.018028922,0.08918603
2023-11,0.18265645,0.07801011,0.16943245,0.12793113,0.096636906,0.13392358,0.014781566,0.081492245,0.030136723,0.08499884
2023-12,0.14365007,0.06936246,0.17993939,0.09432594,0.14720373,0.14987034,0.013781813,0.08704775,0.032100488,0.08271792
